Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
4850000,3.4189377,0.4269876,82.88,0.08525449,0.24144429,0.00015453126,0.1515104,0.00026240098,0.5887584125995636,0.5887584125995636,1.0
4855000,3.4189382,0.40998432,82.52380952380952,0.06006876,0.24113244,0.00015441581,0.1514719,0.0002622124,0.4732466623896644,0.4732466623896644,1.0
4860000,3.4189384,-0.38847566,57.2,0.10516212,0.23944171,0.00015426606,0.151422,0.0002619678,-0.888624376409194,-0.888624376409194,1.0
4865000,3.4189382,-0.57106704,55.04347826086956,0.034288652,0.24762882,0.00015412101,0.15137364,0.00026173083,-0.9499280425939667,-0.9499280425939667,1.0
4870000,3.4189382,-0.59365076,52.78651685393258,0.03177702,0.26886064,0.0001539762,0.15132537,0.00026149434,-1.054796114400193,-1.054796114400193,1.0
4875000,3.4189384,-0.7659985,40.99159663865546,0.031778954,0.24003372,0.00015382798,0.15127596,0.00026125222,-1.0785859184605735,-1.0785859184605735,1.0
4880000,3.4189384,-0.78013766,41.459016393442624,0.024563039,0.24912116,0.00015367451,0.15122482,0.0002610016,-1.106320927298166,-1.106320927298166,1.0
4885000,3.4189382,-0.72876215,44.18348623853211,0.02000576,0.25242335,0.00015352199,0.15117398,0.00026075248,-1.1111616948875813,-1.1111616948875813,1.0
4890000,3.4189382,-0.64100456,50.854166666666664,0.045581885,0.25133055,0.00015337515,0.15112503,0.00026051264,-1.0604802720869582,-1.0604802720869582,1.0
4895000,3.4189384,-0.60921615,54.16483516483517,0.03200765,0.24435802,0.0001532246,0.15107484,0.0002602667,-1.0248434196995653,-1.0248434196995653,1.0
4900000,3.4189384,-0.5807327,54.770114942528735,0.023306731,0.24643174,0.00015307413,0.15102468,0.00026002096,-1.042377320202914,-1.042377320202914,1.0
4905000,3.4189382,-0.5290445,57.01176470588236,0.04599147,0.25646928,0.00015292478,0.15097493,0.00025977704,-0.9082541241365321,-0.9082541241365321,1.0
4910000,3.4189384,-0.4301372,57.48235294117647,0.049012277,0.2504914,0.00015277354,0.15092449,0.00025953003,-0.8012670516967774,-0.8012670516967774,1.0
4915000,3.4189384,-0.42178762,59.67058823529412,0.060134258,0.24815334,0.00015262565,0.15087518,0.00025928847,-0.7490370736402624,-0.7490370736402624,1.0
4920000,3.4189384,-0.3775395,57.833333333333336,0.06444319,0.24723259,0.00015247504,0.15082501,0.0002590425,-0.8657796375808262,-0.8657796375808262,1.0
4925000,3.4189382,-0.25065243,62.1125,0.06335695,0.2560282,0.00015232498,0.15077496,0.00025879737,-0.7117766633629798,-0.7117766633629798,1.0
4930000,3.4189382,-0.39147076,57.80722891566265,0.022910262,0.25217408,0.0001521762,0.1507254,0.00025855436,-0.8548007413565394,-0.8548007413565394,1.0
4935000,3.4189377,-0.3694984,59.926829268292686,0.034599822,0.2426402,0.0001520271,0.15067567,0.0002583108,-0.7653121948242188,-0.7653121948242188,1.0
4940000,3.4189382,-0.28843307,61.1125,0.020359617,0.2553714,0.00015187671,0.15062554,0.00025806512,-0.6649950696871831,-0.6649950696871831,1.0
4945000,3.4189382,-0.3134458,60.18518518518518,0.030901594,0.24408422,0.00015172451,0.15057482,0.0002578166,-0.7907270441452662,-0.7907270441452662,1.0
4950000,3.418938,-0.3100362,59.09756097560975,0.067743696,0.2543581,0.0001515758,0.15052524,0.0002575737,-0.7347329062659566,-0.7347329062659566,1.0
4955000,3.4189384,-0.30138752,60.0,0.019509414,0.23756061,0.00015142717,0.1504757,0.00025733092,-0.7562316885913711,-0.7562316885913711,1.0
4960000,3.4189382,-0.4992377,57.206896551724135,0.01291845,0.2583251,0.00015127665,0.15042551,0.00025708508,-0.9138763944307963,-0.9138763944307963,1.0
4965000,3.4189382,-0.5732995,53.0,0.004364722,0.24872896,0.00015112414,0.1503747,0.00025683595,-1.0399943630803714,-1.0399943630803714,1.0
4970000,3.4189384,-0.5129747,57.29761904761905,0.026691314,0.26985765,0.00015097829,0.15032609,0.0002565978,-0.8619075520285244,-0.8619075520285244,1.0
4975000,3.4189384,-0.5106982,56.03370786516854,0.037214193,0.24342854,0.00015082902,0.15027633,0.00025635393,-0.8757169052456202,-0.8757169052456202,1.0
4980000,3.4189384,-0.52869344,55.662921348314605,0.050887626,0.2532134,0.0001506779,0.15022595,0.00025610713,-0.8722081597555768,-0.8722081597555768,1.0
4985000,3.4189382,-0.45297307,57.367816091954026,0.021382295,0.25561637,0.00015052283,0.15017426,0.00025585384,-0.8499958021887417,-0.8499958021887417,1.0
4990000,3.4189384,-0.42534542,58.51807228915663,0.023518879,0.24823488,0.00015037386,0.1501246,0.00025561053,-0.8040252187883997,-0.8040252187883997,1.0
4995000,3.4189382,-0.41440305,57.71084337349398,0.039352775,0.2989387,0.00015022585,0.15007526,0.0002553688,-0.8473119775214827,-0.8473119775214827,1.0
5000000,3.4189384,-0.2882988,59.65,0.027514488,0.2467831,0.00015007694,0.15002562,0.00025512555,-0.755218381434679,-0.755218381434679,1.0
5005000,3.4189382,-0.19987199,62.30864197530864,0.020330798,0.2467786,0.00014992975,0.14997657,0.00025488512,-0.610723391538713,-0.610723391538713,1.0
5010000,3.4189377,-0.2395511,61.28395061728395,0.021184867,0.2556641,0.00014977308,0.14992434,0.00025462924,-0.6636768226270322,-0.6636768226270322,1.0
5015000,3.4189384,-0.32616714,58.82142857142857,0.010342302,0.25270352,0.00014962468,0.14987488,0.00025438686,-0.8128793102853439,-0.8128793102853439,1.0
5020000,3.4189384,-0.32851818,58.4,0.015778553,0.2510028,0.00014947445,0.14982478,0.0002541415,-0.810464974711923,-0.810464974711923,1.0
5025000,3.418938,-0.42746457,57.2906976744186,0.02600202,0.24148586,0.00014932397,0.14977466,0.00025389576,-0.8911788241807804,-0.8911788241807804,1.0
5030000,3.4189382,-0.5659999,53.86046511627907,0.0064429226,0.24942899,0.00014917483,0.14972492,0.00025365208,-1.0726278306439865,-1.0726278306439865,1.0
5035000,3.4189384,-0.50388026,54.97727272727273,0.012737888,0.2584025,0.00014902539,0.1496751,0.00025340804,-0.9430043737540085,-0.9430043737540085,1.0
5040000,3.4189384,-0.6155148,53.734042553191486,0.018651757,0.25687125,0.00014887634,0.14962542,0.00025316453,-1.0842176562861392,-1.0842176562861392,1.0
5045000,3.4189384,-0.5911641,54.41304347826087,0.017388714,0.2600129,0.00014872645,0.14957547,0.0002529198,-1.0248300289059733,-1.0248300289059733,1.0
5050000,3.4189382,-0.45069462,57.2,0.01632704,0.26971975,0.00014857328,0.14952442,0.00025266953,-0.8921662975760067,-0.8921662975760067,1.0
